"Leaf_ID";"IDVar";"Water_treatment"
"4694_2022-06-09_HD";"V2043";"WD2"
"6598_2022-06-09_HD";"V3444";"WW"
"6591_2022-06-09_HD";"V3444";"WD1"
"6596_2022-06-09_HD";"V3444";"WD2"
"6674_2022-06-27_HD";"V3484";"WW"
"6676_2022-06-27_HD";"V3484";"WD1"
"6679_2022-06-27_HD";"V3484";"WD2"
"5384_2022-06-09_HD";"V1893";"WW"
"5383_2022-06-09_HD";"V1893";"WD1"
"5381_2022-06-09_HD";"V1893";"WD2"
"4190_2022-06-09_HD";"V329";"WW"
"4193_2022-06-09_HD";"V329";"WD1"
"4191_2022-06-09_HD";"V329";"WD2"
"6468_2022-06-09_HD";"V3240";"WW"
"6467_2022-06-09_HD";"V3240";"WD1"
"6465_2022-06-09_HD";"V3240";"WD2"
"6813_2022-06-09_HD";"V3005";"WW"
"6811_2022-06-09_HD";"V3005";"WD1"
"6814_2022-06-09_HD";"V3005";"WD2"
"4664_2022-06-09_HD";"V1992";"WW"
"4665_2022-06-09_HD";"V1992";"WD1"
"4666_2022-06-09_HD";"V1992";"WD2"
"5520_2022-07-11_HD";"V3509";"WW"
"5526_2022-07-11_HD";"V3509";"WD1"
"5529_2022-07-11_HD";"V3509";"WD2"
"4211_2022-06-27_HD";"V349";"WW"
"4213_2022-06-27_HD";"V349";"WD1"
"4217_2022-06-27_HD";"V349";"WD2"
"6332_2022-06-01_HD";"V2874";"WW"
"6336_2022-06-01_HD";"V2874";"WD1"
"6338_2022-06-01_HD";"V2874";"WD2"
"6082_2022-06-01_HD";"V2327";"WW"
"6089_2022-06-01_HD";"V2327";"WD1"
"6083_2022-06-01_HD";"V2327";"WD2"
"6031_2022-06-01_HD";"V2218";"WW"
"6034_2022-06-01_HD";"V2218";"WD1"
"6039_2022-06-01_HD";"V2218";"WD2"
"5228_2022-06-01_HD";"V1887";"WW"
"5226_2022-06-01_HD";"V1887";"WD1"
"5220_2022-06-01_HD";"V1887";"WD2"
