"Leaf_ID";"Experiment";"Phenotyping_type";"LMA";"WCf";"WQ";"An";"PSI";"WUEintr";"WUEinst"
"4829_22/07/21";"Outdoor";"HT";5,69973667813378;NA;NA;NA;NA;NA;NA
"5359_19/07/21";"Outdoor";"HT";4,31707804242594;NA;NA;NA;NA;NA;NA
"5354_20/07/21";"Outdoor";"HT";3,92913784967337;NA;NA;NA;NA;NA;NA
"5358_22/07/21";"Outdoor";"HT";3,37209552161842;NA;NA;NA;NA;NA;NA
"4528_19/07/21";"Outdoor";"HT";5,60026483383825;NA;NA;NA;NA;NA;NA
"4527_20/07/21";"Outdoor";"HT";4,79454289504447;NA;NA;NA;NA;NA;NA
"4520_22/07/21";"Outdoor";"HT";4,21760619813041;NA;NA;NA;NA;NA;NA
"5060_19/07/21";"Outdoor";"HT";4,57570483759431;NA;NA;NA;NA;NA;NA
"5066_20/07/21";"Outdoor";"HT";4,27728930470772;NA;NA;NA;NA;NA;NA
"5063_22/07/21";"Outdoor";"HT";5,99815221102037;NA;NA;NA;NA;NA;NA
"4069_19/07/21";"Outdoor";"HT";4,57570483759431;NA;NA;NA;NA;NA;NA
"4067_20/07/21";"Outdoor";"HT";4,8741203704809;NA;NA;NA;NA;NA;NA
"4064_22/07/21";"Outdoor";"HT";5,29190211652211;NA;NA;NA;NA;NA;NA
"4894_19/07/21";"Outdoor";"HT";5,15264153450837;NA;NA;NA;NA;NA;NA
"4897_20/07/21";"Outdoor";"HT";4,8741203704809;NA;NA;NA;NA;NA;NA
"4898_22/07/21";"Outdoor";"HT";4,89401473934;NA;NA;NA;NA;NA;NA
"4709_19/07/21";"Outdoor";"HT";5,82905007571797;NA;NA;NA;NA;NA;NA
"4705_20/07/21";"Outdoor";"HT";3,75008852994142;NA;NA;NA;NA;NA;NA
"4703_22/07/21";"Outdoor";"HT";5,07306405907195;NA;NA;NA;NA;NA;NA
"5200_19/07/21";"Outdoor";"HT";5,38142677638809;NA;NA;NA;NA;NA;NA
"5205_20/07/21";"Outdoor";"HT";4,74480697289671;NA;NA;NA;NA;NA;NA
"5209_22/07/21";"Outdoor";"HT";4,96364503034687;NA;NA;NA;NA;NA;NA
